,MOUTH_AREA,EYEBROW_EYE_DISTANCE,EYEBROW_HORIZONTAL_DISTANCE,EYEBROW_INTERCEPT_DISTANCE,EYE_DROOP,LIPCENTER_OFFSET,NASOLABIAL_FOLD_SIGMA,video_id,movement
2121,0.9188790420218184,0.900644347672826,0.9081474391357146,0.9598870064903056,0.8843750000000002,0.9769548941293905,0.9479379653930664,0.0,6.0
2122,0.8269297581342289,0.9054405641792811,0.9135979722244391,0.9608853674665615,0.9152941176470596,0.9879271228182775,0.9422240257263184,0.0,6.0
2123,0.8977904011419509,0.9054405641792811,0.9135979722244391,0.9608853674665615,0.9109375000000001,0.9966418710635673,0.9408484101295471,0.0,6.0
2124,0.9022392903382092,0.8949788950947319,0.8967008144285323,0.9630751100574669,0.9266198282591723,0.9632295668838265,0.9316616058349609,0.0,6.0
2125,0.9319636667400579,0.8949788950947319,0.8967008144285323,0.9630751100574669,0.9125683060109288,0.9769548941293905,0.9046247005462646,0.0,6.0
2126,0.8895514456579579,0.9071192312846288,0.9125421150836115,0.9639927808206259,0.9369085173501582,0.9829645684849516,0.9914698600769043,0.0,6.0
2127,0.9319987165386812,0.9054439269801686,0.9125863303944892,0.9618329053005616,0.968472109943412,0.9769548941293905,0.9410644173622131,0.0,6.0
2128,0.8977078733027763,0.9054439269801688,0.9136658128672596,0.9607903573713403,0.9557522123893806,0.9966418710635673,0.9864512085914612,0.0,6.0
2129,0.8977078733027763,0.9054439269801688,0.9136658128672596,0.9607903573713403,0.963592233009709,0.9966418710635673,0.9772064089775085,0.0,6.0
2130,0.9064957026189656,0.9054439269801686,0.9125775022143486,0.9617874961440432,0.9595469255663436,0.9966418710635673,0.9850371479988098,0.0,6.0
2131,0.9064244062083612,0.9071192312846288,0.9125332152347208,0.9639491708049401,0.9525723472668823,0.9966418710635673,0.9845197796821594,0.0,6.0
2132,0.927530918179771,0.9068780180974632,0.9190513749922448,0.9576774067307987,0.927131782945737,0.9769548941293905,0.9559682607650757,0.0,6.0
2133,0.9362417854077709,0.9054405641792803,0.9124928036845135,0.96187822762254,0.9263565891472871,0.9769548941293905,0.9476586580276489,0.0,6.0
2134,0.927530918179771,0.9054439269801688,0.9136658128672596,0.9607903573713404,0.916149068322982,0.9769548941293905,0.9498696327209473,0.0,6.0
2135,0.8835307859167792,0.8995103403847103,0.9075933756166316,0.9587390767891106,0.9470404984423673,0.9687422456265332,0.9505601525306702,0.0,6.0
2136,0.8669538136008743,0.9054439269801688,0.9136658128672596,0.9607903573713404,0.9174454828660428,0.9687422456265332,0.9545429348945618,0.0,6.0
2137,0.866877114404731,0.9037683601047906,0.9136334228461536,0.9587283133335242,0.9454828660436123,0.9687422456265332,0.9370015263557434,0.0,6.0
2138,0.9188251502537388,0.9028296748022161,0.9086774091181565,0.9619606708603718,0.91921568627451,0.9769548941293905,0.9484919309616089,0.0,6.0
2139,0.8506310759612765,0.9054439269801695,0.9147554940669406,0.959794348055787,0.8742236024844732,0.9687422456265332,0.9450423717498779,0.0,6.0
2140,0.8467596310127111,0.9119274812827004,0.9201776593382193,0.9629126953168545,0.8769470404984435,0.9687422456265332,0.9554131627082825,0.0,6.0
2141,0.8467596310127111,0.9054405641792812,0.9146991419282634,0.9598440375170565,0.8788819875776409,0.9687422456265332,0.9519057273864746,0.0,6.0
2142,0.8672979819288472,0.9054405641792812,0.9146991419282634,0.9598440375170565,0.8660436137071661,0.9486832980505138,0.942024290561676,0.0,6.0
2143,0.8587915765810257,0.8964010464438197,0.9032243847401462,0.9589030127399901,0.9101562500000002,0.9687422456265332,0.9463289380073547,0.0,6.0
2144,0.9509387007825387,0.8884094431237424,0.8903592181722139,0.9608553134014879,0.9071597167584574,0.9952829925674995,0.9985419511795044,0.0,6.0
2145,0.9150017283063423,0.8924896014526542,0.9027003553798836,0.9546820251319255,0.9496062992125975,0.9952829925674995,0.9215275645256042,0.0,6.0
2146,0.9593066045414498,0.8910111427336217,0.8951694151333581,0.9598242862123124,0.9651539708265793,0.9759552693555198,0.9925190210342407,0.0,6.0
2147,0.9373308483743187,0.8927135326276966,0.8951163900524952,0.9619908851717205,0.9539062499999993,0.9952829925674995,0.9780601263046265,0.0,6.0
2148,0.9690472323629443,0.8910615239500728,0.8950582861998462,0.9598740720026478,0.9656274980015982,0.9560476710505951,0.9490772485733032,0.0,6.0
2149,0.9460847449656777,0.8910615239500728,0.8950582861998462,0.9598740720026478,0.9085937500000009,0.9759552693555198,0.9565833806991577,0.0,6.0
2150,0.9689556425861497,0.8866611713540213,0.8947488424301955,0.9545077526875602,0.9951417004048592,0.9952829925674995,0.9495614171028137,0.0,6.0
2151,0.9556121583471767,0.8893622844091342,0.8951008032342147,0.9576587172068385,0.9653543307086606,0.9952829925674995,0.8774167895317078,0.0,6.0
2152,0.9731116615649369,0.8882895260722871,0.8948037711028286,0.9565594091086531,0.9746938775510195,0.9759552693555198,0.9576395750045776,0.0,6.0
2153,0.9593066045414498,0.8876889218988286,0.8951749734888654,0.9556008983477767,0.9536741214057503,0.9759552693555198,0.9599798321723938,0.0,6.0
2154,0.9923053892000422,0.8866611713540213,0.8947368421052629,0.9544550370514202,0.99836333878887,0.9560476710505951,0.9533746838569641,0.0,6.0
2155,0.9687042679857484,0.8876889218988278,0.8941023738872395,0.9565850931331119,0.99836333878887,0.9759552693555198,0.9455482959747314,0.0,6.0
2156,0.9829807566615038,0.8950462814524169,0.904406737522531,0.9564942432401723,0.9991843393148445,0.9952829925674995,0.9927747249603271,0.0,6.0
2157,0.9834118028944655,0.8924896014526541,0.8994002108564496,0.957584853029728,0.9800478850758191,0.9952829925674995,0.987582266330719,0.0,6.0
2158,0.9737486998002528,0.8908283479722863,0.8994869258824253,0.9555285326913517,0.9903069466882081,0.9952829925674995,0.9873040914535522,0.0,6.0
2159,0.9556121583471763,0.890804500164404,0.9004485577008324,0.954545594732619,0.9730586370839945,0.9952829925674995,0.9212439656257629,0.0,6.0
2160,0.9099931185415715,0.892234971210671,0.9058965358295222,0.9513525462740999,0.9872408293460916,0.9862736307316163,0.947140634059906,0.0,6.0
2161,0.9058809535537835,0.8942242216769452,0.9002299585364345,0.958903724808571,0.982663514578409,0.9862736307316163,0.9116626977920532,0.0,6.0
